Previous Score,Sleeping Hours,Practice exam,Delegation,Scholarship,Final Score
83.21902504,8.256750516,1,Benito Juarez,Yes,72.55840041
75.87047068,8.990786834,2,Iztacalco,Yes,66.43344715
72.0099265,6.510195095,8,Xochimilco,Yes,86.98769847
75.91760777,6.625490548,9,Iztacalco,No,75.5832567
55.12431085,6.757466338,8,Xochimilco,No,71.72523196
72.80328112,7.412339513,9,Xochimilco,No,84.22161111
78.57112572,6.12839905,6,Alvaro Obregon,No,70.93219245
89.77894045,2.658722414,1,Iztacalco,No,37.8266429
69.81729782,8.789153502,4,Alvaro Obregon,Yes,79.07539145
66.91506397,9.692033421,7,Iztacalco,No,67.92581478
69.98242956,6.081400211,0,Iztapalapa,No,36.96117943
84.15402118,5.400019947,0,Xochimilco,No,43.08495959
78.2875111,6.794349216,5,Coyoacan,No,63.96434352
69.70239796,6.718744174,6,Xochimilco,Yes,78.42743891
80.13267433,8.493277866,6,Coyoacan,Yes,95.87400509
75.97077549,7.081959162,2,Benito Juarez,Yes,71.89025394
84.68644991,5.811065754,9,Benito Juarez,Yes,100
67.97946906,5.022385824,3,Iztapalapa,No,44.03027528
71.72337853,8.298451277,8,Xochimilco,No,77.07031689
71.07891847,7.899266862,9,Iztapalapa,Yes,96.42272773
60.36485052,8.590839817,3,Coyoacan,No,55.72681856
77.96120277,5.547719874,4,Benito Juarez,Yes,84.63462131
77.61055272,9.757655349,5,Benito Juarez,No,81.43152814
75.05113457,4.384458239,6,Xochimilco,No,62.93337305
72.65412867,8.064401532,4,Coyoacan,Yes,70.42111965
60.84629258,4.135625849,6,Alvaro Obregon,No,74.60089026
70.79354677,5.814502927,1,Iztapalapa,No,37.16303442
71.57285483,9.341534396,6,Benito Juarez,Yes,99.81089402
66.97722731,8.247046382,4,Coyoacan,No,63.24453929
73.38714288,6.180669377,9,Iztapalapa,No,82.8199312
79.04050857,6.221744436,4,Xochimilco,No,65.63973288
93.86185901,7.150933166,5,Coyoacan,No,79.97484632
76.74577813,7.771211486,8,Xochimilco,No,75.37538864
77.57550391,8.877369074,3,Alvaro Obregon,No,75.93494029
74.25554084,6.315648993,4,Xochimilco,Yes,78.73678736
55.81228785,4.582322405,4,Iztacalco,No,49.89778591
74.73486125,7.235452941,2,Benito Juarez,No,71.21181957
75.6023021,6.313853744,2,Xochimilco,Yes,59.91980988
99.63242112,5.049049443,0,Xochimilco,No,47.25356709
73.07639035,7.446503373,3,Iztapalapa,Yes,58.06468962
78.01547342,6.680329369,8,Coyoacan,No,79.00080623
74.6528823,7.45976831,1,Coyoacan,Yes,56.92166522
63.31321962,5.6583337,9,Iztapalapa,No,83.40529438
86.42822815,7.730065795,3,Benito Juarez,Yes,87.47196938
82.51933033,5.024352705,8,Xochimilco,Yes,95.65998861
82.91031947,5.758402915,8,Benito Juarez,No,86.19892592
65.90612545,6.635628653,7,Xochimilco,No,71.24181825
89.02794311,9.612727622,1,Coyoacan,No,58.66844953
60.98148937,8.177238053,2,Benito Juarez,No,58.04094482
80.86857094,8.615788756,5,Xochimilco,No,74.67843872
96.90455626,9.12561555,1,Iztacalco,Yes,69.28438381
65.09463675,12,2,Alvaro Obregon,No,69.241643
69.3370227,7.062383601,0,Alvaro Obregon,No,48.26192339
75.99651365,9.130601385,3,Iztacalco,No,65.8112482
69.96524346,8.518952882,5,Benito Juarez,No,74.44883724
59.49336569,8.494048755,0,Xochimilco,No,37.40894628
75.68562975,9.661359427,0,Coyoacan,Yes,61.54844414
64.37696286,6.371030454,7,Benito Juarez,Yes,86.88675048
79.73592431,6.251972464,6,Iztapalapa,No,68.19597222
65.80575766,7.47964827,6,Iztapalapa,Yes,74.87714765
90.49934405,6.725950342,6,Benito Juarez,Yes,100
67.16746708,7.477751279,4,Iztacalco,No,50.01901917
71.77938484,9.344123178,3,Iztapalapa,Yes,67.05188663
83.13517217,6.282779916,6,Xochimilco,Yes,81.41436289
62.69135684,6.542981556,2,Alvaro Obregon,Yes,60.33610959
77.27459935,7.261466505,8,Coyoacan,Yes,95.95426598
88.07142754,6.657522361,1,Iztacalco,No,43.89523127
58.92516765,4.128991258,0,Iztapalapa,No,27.58125284
76.84633859,6.129808536,7,Coyoacan,No,77.68384028
77.59882794,8.031059863,5,Xochimilco,Yes,74.64925758
82.81822872,9.156320126,3,Alvaro Obregon,No,68.81480305
62.63049289,5.268072149,9,Iztapalapa,Yes,94.30047575
61.79543387,5.261076401,8,Iztapalapa,Yes,88.73555635
80.21941566,7.045350704,4,Coyoacan,Yes,70.45430468
77.96984673,3.886607403,0,Coyoacan,No,29.57664299
77.5049285,6.332544696,0,Benito Juarez,Yes,60.59360189
78.46448209,4.395936911,6,Iztapalapa,Yes,79.78919089
68.19975278,9.05359195,0,Alvaro Obregon,No,48.3070391
77.32253697,5.846003268,5,Coyoacan,No,59.26435093
77.93072473,9.47925128,6,Iztacalco,No,79.00215631
67.85648582,8.67028203,9,Iztapalapa,Yes,91.40847659
93.65774511,6.030524053,4,Iztacalco,No,68.33139812
79.73832921,5.392060545,2,Iztapalapa,No,46.77569054
63.08696503,6.709681376,2,Coyoacan,No,46.75776524
81.56553609,6.843030064,1,Benito Juarez,No,73.15814904
65.2531833,7.519220416,0,Iztapalapa,Yes,40.76232409
82.87084604,5.835185066,7,Xochimilco,Yes,85.16415485
86.58595579,8.11959231,8,Coyoacan,Yes,97.4459502
66.79317682,7.397992082,1,Coyoacan,Yes,50.86249017
84.63376129,6.489407265,3,Coyoacan,No,58.7844344
79.12780927,5.931939017,2,Iztacalco,No,52.11011013
83.2206016,6.722672525,3,Coyoacan,Yes,67.72432462
93.96792983,5.774648122,3,Iztacalco,No,61.11342788
72.54611884,7.087658042,7,Alvaro Obregon,No,83.68003958
67.46263836,7.128158028,2,Xochimilco,Yes,51.65671188
66.1048557,7.392560925,2,Xochimilco,No,39.94889045
66.84189715,9.649363615,5,Xochimilco,No,67.60829852
74.22898291,6.80133292,2,Benito Juarez,Yes,82.28364183
78.41151975,8.506896801,4,Xochimilco,Yes,75.60803766
77.76690799,7.344381095,3,Coyoacan,No,53.98677671
83.27183249,6.642633547,3,Alvaro Obregon,No,66.78575914
75.13001892,6.821261095,1,Coyoacan,No,53.49039651
89.53534077,6.911760386,8,Alvaro Obregon,No,98.22637814
72.35343167,7.419651562,4,Xochimilco,Yes,63.85096769
100,5.561018852,4,Coyoacan,Yes,82.59334519
81.25667348,4.801989425,6,Benito Juarez,No,80.6565822
66.42842444,7.98144609,2,Coyoacan,No,53.39619798
64.29107502,8.347185749,5,Iztacalco,No,60.18746446
79.82472415,8.118453749,0,Coyoacan,No,41.94964884
72.76537215,7.232458028,4,Iztapalapa,No,52.63721835
82.14000494,8.150836941,4,Iztacalco,Yes,73.49794621
79.73237625,8.070143539,8,Alvaro Obregon,No,89.85775011
74.27171087,8.181444038,4,Xochimilco,Yes,72.81056371
66.53206282,5.710688768,7,Xochimilco,No,71.13126413
59.85152775,5.354572304,2,Coyoacan,Yes,45.42081102
70.53485048,6.41714613,5,Xochimilco,Yes,81.27410338
83.56398794,6.973923836,1,Xochimilco,No,56.45996986
77.14093744,6.637118309,8,Xochimilco,No,85.9337886
62.54261221,4.184964503,5,Coyoacan,No,49.63698476
76.73180926,9.582538918,4,Coyoacan,No,59.37370683
78.8531738,6.588931017,8,Iztapalapa,No,80.24912116
66.16142564,7.259056625,0,Benito Juarez,Yes,66.39722351
76.53725106,8.866823486,2,Benito Juarez,Yes,86.64698334
75.58208718,3.482541596,1,Iztacalco,No,43.95215604
63.57029702,6.232459192,8,Iztacalco,Yes,93.84120139
78.5778736,6.41932409,5,Iztapalapa,No,70.38018608
80.60784526,6.495534932,5,Xochimilco,No,62.20952896
85.83051243,6.739770114,4,Iztapalapa,No,71.42061304
85.53802052,9.170702198,3,Iztapalapa,Yes,70.14989277
61.22330632,8.010188314,3,Alvaro Obregon,No,68.11155047
65.6217496,8.437052903,1,Xochimilco,No,40.02324972
80.15035267,7.070680408,6,Xochimilco,No,73.4817946
80.13785951,4.900940431,5,Iztapalapa,Yes,69.83379349
80.15047686,3.880454447,2,Iztapalapa,No,47.18307739
100,4.705888415,6,Iztapalapa,No,81.83851773
80.70890511,7.539648556,8,Iztapalapa,Yes,97.16203873
86.3556564,7.047654569,9,Xochimilco,Yes,100
84.54001763,6.684754529,0,Benito Juarez,Yes,70.75120848
81.51391251,6.44713464,9,Coyoacan,Yes,98.23119498
71.84730755,10.01758236,7,Coyoacan,Yes,92.27391269
82.5896922,5.765644614,1,Benito Juarez,Yes,64.27687764
67.27174785,8.391729184,0,Iztapalapa,No,42.16043416
72.63181393,7.002869404,8,Xochimilco,No,79.18749112
70.14636452,6.908590732,1,Alvaro Obregon,No,52.03197456
75.81874139,8.764956323,6,Alvaro Obregon,No,80.16745529
98.14658567,9.193795574,6,Iztacalco,No,84.12552623
56.32734807,6.640675815,0,Coyoacan,No,21.6000308
81.8626019,8.198804079,9,Iztacalco,Yes,100
58.87284129,7.545837043,0,Iztapalapa,No,37.42385693
70.28068134,7.011155708,6,Iztacalco,No,68.64418896
85.88950597,7.306382414,5,Iztapalapa,No,64.71846725
75.64280019,5.967986778,3,Iztacalco,No,54.41914461
64.22255222,6.54085091,2,Benito Juarez,Yes,67.47467149
67.84696291,6.12904708,4,Xochimilco,Yes,65.2989603
81.79597749,8.352065075,4,Iztapalapa,No,61.62090224
67.69633368,6.857198327,2,Alvaro Obregon,No,55.74473561
77.1645859,5.053428963,5,Iztapalapa,No,60.00385045
75.4557184,5.914844165,2,Alvaro Obregon,Yes,70.61206292
68.48399652,2.201103032,3,Xochimilco,No,41.93267721
96.43944089,6.258261097,2,Alvaro Obregon,Yes,92.26598482
81.33919022,7.056467598,5,Iztacalco,No,73.65733831
54.74857413,6.795796227,8,Coyoacan,No,69.36742943
76.86454315,9.970231527,2,Coyoacan,No,60.28450806
68.38213535,7.862359061,0,Coyoacan,No,34.69599685
83.52433335,7.79567778,6,Alvaro Obregon,No,81.42983224
67.07479262,4.535096448,4,Coyoacan,Yes,71.94309213
73.85263559,6.453036919,3,Iztapalapa,No,51.98808679
80.04987279,6.270005789,2,Iztapalapa,No,53.48860667
83.65755194,5.820878202,6,Xochimilco,No,70.86841589
62.99703593,5.800179002,1,Iztapalapa,No,40.65989104
71.65498764,4.287815569,3,Xochimilco,No,58.52079557
70.25054689,5.086220193,1,Alvaro Obregon,No,46.91138748
68.46670767,8.311140104,9,Alvaro Obregon,No,99.02954532
92.6545424,6.785627962,7,Coyoacan,Yes,92.98796532
79.04981711,6.240396373,2,Xochimilco,Yes,61.98595181
62.39116046,6.991882998,4,Iztacalco,No,46.98460875
84.17861947,8.751086018,3,Alvaro Obregon,No,73.60733301
96.22156197,7.006315781,4,Benito Juarez,Yes,91.91612488
85.32465261,7.810561196,3,Iztapalapa,No,67.05237104
59.80630034,5.730092736,7,Iztapalapa,No,61.49223504
70.15765927,6.072055074,5,Coyoacan,No,59.70073512
87.66911149,7.530965328,0,Iztacalco,No,51.73299134
67.92330534,9.838980563,4,Iztapalapa,No,65.35319591
79.43819428,9.144662289,0,Alvaro Obregon,No,64.77739535
82.74634053,7.874242104,2,Iztacalco,No,59.68380062
65.73069528,7.22715064,5,Iztapalapa,No,62.16768961
74.40474644,9.101604033,8,Coyoacan,No,82.58625058
42.5873266,8.192017485,2,Coyoacan,No,34.36918975
64.75612359,3.559506966,3,Coyoacan,No,42.38078555
72.47431849,5.419103728,9,Alvaro Obregon,No,87.47830931
62.52216818,7.507210488,0,Coyoacan,No,31.98112441
91.32411304,4.319548652,9,Benito Juarez,Yes,100
60.69858622,5.653616493,1,Alvaro Obregon,No,39.09561322
70.59955513,5.950277585,6,Benito Juarez,No,68.58423918
76.30740577,6.615751141,7,Coyoacan,Yes,75.7570215
89.41273289,6.568854688,0,Iztacalco,Yes,51.01049007
60.64137849,6.566319359,8,Alvaro Obregon,No,81.89786647
86.63163752,8.237961276,5,Benito Juarez,No,84.00276774
75.10233061,6.602164202,0,Alvaro Obregon,No,46.06858442
65.18491349,6.423054802,3,Benito Juarez,No,55.87536565
79.62103474,4.976241844,3,Xochimilco,Yes,59.20861365
76.99059696,8.536519303,6,Alvaro Obregon,Yes,98.98125992
68.99783123,5.992753729,0,Iztapalapa,No,32.55115362
75.69802085,5.369454508,9,Benito Juarez,Yes,100
71.14686403,7.319635862,8,Benito Juarez,No,88.50636725
76.13517345,5.849588106,0,Alvaro Obregon,No,47.52212039
81.62130675,6.21107089,9,Iztacalco,No,86.53498586
90.86016816,7.387690261,2,Iztapalapa,No,59.24557452
62.62184501,6.510276064,0,Benito Juarez,Yes,62.75014253
96.33033375,10.46741406,0,Coyoacan,Yes,72.21561095
55.479122,6.887757185,3,Coyoacan,No,52.23510927
73.48214905,7.926757328,1,Xochimilco,Yes,53.53460925
80.88317206,4.087458929,8,Alvaro Obregon,No,83.36772258
77.80991868,5.709026302,0,Iztacalco,Yes,47.77468752
68.7730048,5.369629458,2,Iztapalapa,Yes,58.58253523
72.9187775,5.568430415,1,Benito Juarez,No,49.38093742
70.06999065,7.623306991,0,Coyoacan,Yes,56.01338803
69.10635243,8.553347602,8,Benito Juarez,No,85.56667066
83.49602097,7.516945757,4,Coyoacan,Yes,71.14732536
78.57015486,6.660033065,5,Alvaro Obregon,No,77.93766957
68.07090405,6.053717442,7,Alvaro Obregon,No,90.89304355
83.99599875,8.670399627,6,Benito Juarez,Yes,100
78.07299521,10.10688318,6,Alvaro Obregon,Yes,100
83.12862119,7.202583557,8,Iztapalapa,Yes,91.54141245
81.29628842,8.409044596,2,Xochimilco,Yes,65.54148512
66.71004989,7.515055525,9,Alvaro Obregon,No,95.20190583
69.3981896,8.13325736,7,Iztapalapa,Yes,77.20490801
82.47293605,5.253179833,5,Alvaro Obregon,No,75.50211157
81.10370265,6.26779558,7,Benito Juarez,No,94.99030225
74.79098406,7.59320416,3,Iztapalapa,No,61.35802091
76.17327383,8.818736416,0,Xochimilco,Yes,66.42668096
87.77664896,5.772798668,2,Xochimilco,Yes,63.84774492
69.08428611,3.950051333,9,Xochimilco,No,67.90439631
80.47097381,6.25260336,2,Iztacalco,No,48.43370709
72.97807348,8.515196072,0,Xochimilco,No,41.88133917
72.82318797,4.624156613,4,Benito Juarez,Yes,82.22603182
85.98776852,5.234620162,5,Iztapalapa,No,67.1921674
83.25416349,7.233877879,8,Coyoacan,No,86.15576592
83.13509636,6.826043121,7,Xochimilco,No,75.98771349
88.05478807,7.891699722,3,Coyoacan,Yes,73.11607086
75.21003842,5.156909859,5,Iztacalco,No,56.96117339
81.81952971,6.512532109,2,Coyoacan,No,45.09160404
71.89733243,8.792778104,0,Benito Juarez,No,51.26064613
78.24166352,5.21065571,8,Xochimilco,No,79.06354767
73.69856946,9.215368444,7,Iztapalapa,No,80.89237845
75.96995965,5.398874521,5,Xochimilco,No,63.32434321
80.95157025,8.274072366,2,Benito Juarez,Yes,80.27216834
66.81779317,6.440562235,4,Alvaro Obregon,No,64.20345495
95.92387276,5.282637614,8,Alvaro Obregon,No,100
64.93982619,6.254651429,6,Coyoacan,No,63.45871052
62.85811387,7.817393782,1,Iztacalco,No,38.78624295
86.58110874,6.989719008,5,Iztacalco,Yes,86.03556177
82.91662694,8.677704117,8,Xochimilco,No,94.18136238
81.24119817,9.153610091,9,Alvaro Obregon,No,100
81.28345509,5.225454002,0,Iztacalco,Yes,55.11983495
74.87753227,5.115596283,4,Iztacalco,Yes,66.05863395
66.02745629,5.04280934,8,Coyoacan,Yes,91.30094362
75.75804558,5.651205856,2,Xochimilco,No,53.81336671
68.22838288,8.656321781,2,Benito Juarez,Yes,74.51975
84.75119733,7.840542926,9,Benito Juarez,No,100
73.52942618,6.182458641,8,Iztapalapa,No,80.68161296
66.74502803,6.983346114,2,Benito Juarez,Yes,70.00527681
71.78614158,9.106458258,8,Benito Juarez,Yes,100
79.12931454,9.862016276,9,Coyoacan,Yes,100
69.36275447,7.3890765,2,Xochimilco,Yes,57.33354277
66.77779604,3.011078224,7,Coyoacan,No,61.15881384
77.43687211,7.445930642,9,Xochimilco,Yes,92.81641698
77.44966571,8.402122194,8,Benito Juarez,No,100
69.93056825,7.336948474,2,Iztapalapa,No,50.77883079
70.28961694,8.089772378,0,Benito Juarez,No,44.19111938
77.32049937,7.535598062,8,Xochimilco,No,79.14093225
60.51915659,5.148031874,6,Benito Juarez,Yes,75.78836473
60.92536226,5.67064235,5,Alvaro Obregon,No,67.95866628
67.81555779,6.518271719,3,Xochimilco,Yes,59.49647195
72.86552848,8.598122167,4,Iztapalapa,No,59.63115907
78.10907566,5.851173898,6,Xochimilco,No,75.21261914
89.75356217,7.68385395,8,Benito Juarez,No,100
83.57659623,7.455538891,5,Coyoacan,No,70.71739551
73.4006147,9.379295898,3,Xochimilco,Yes,68.66249638
74.80983792,6.937480333,3,Benito Juarez,No,66.15325376
64.97470635,4.367862373,9,Iztacalco,No,76.53575692
74.81486864,7.970305697,2,Alvaro Obregon,No,71.26062299
72.11341361,10.20708282,1,Alvaro Obregon,No,62.52405913
78.2271856,8.068575017,3,Alvaro Obregon,Yes,80.29987839
66.72769056,5.818507612,5,Iztapalapa,Yes,71.39350706
80.19346514,5.377081181,0,Xochimilco,No,39.07527629
90.32738913,5.57054675,1,Alvaro Obregon,No,75.50408828
73.91239852,10.00496782,7,Benito Juarez,No,90.89833742
79.01711722,6.509008839,2,Iztapalapa,No,51.13591015
81.90143992,6.006034909,0,Iztacalco,No,44.51547718
70.98779528,6.762345034,1,Coyoacan,Yes,55.40035672
77.24092482,6.524639427,2,Alvaro Obregon,Yes,79.40974081
75.12592401,9.35147554,1,Benito Juarez,Yes,74.34359643
75.97676099,5.478283763,3,Iztapalapa,Yes,62.25433952
67.26990216,8.770964847,3,Xochimilco,No,56.37229034
75.24510174,7.183138145,9,Xochimilco,No,86.42833948
79.97998291,8.81053977,1,Benito Juarez,No,66.3400248
89.51143608,9.373928566,0,Xochimilco,No,49.04028432
84.59270826,7.127196451,2,Alvaro Obregon,No,69.784103
96.53182458,6.527404586,3,Coyoacan,No,70.88782285
67.32652437,7.099268248,5,Iztapalapa,Yes,64.64569197
83.72320637,6.857843992,4,Benito Juarez,No,75.9402527
76.83342006,4.514550316,1,Iztapalapa,Yes,48.6392691
96.89802933,9.328720561,3,Alvaro Obregon,No,86.56377833
66.91701715,7.368677526,5,Xochimilco,No,61.37336095
66.60278158,5.255351222,3,Alvaro Obregon,No,55.76808084
69.00607355,3.89871502,6,Iztacalco,Yes,69.89118452
53.76104276,3.508601151,5,Iztacalco,Yes,67.71394954
69.74244978,8.155720655,5,Alvaro Obregon,No,75.49375539
67.40867338,6.071533647,9,Iztapalapa,No,78.82108282
76.50393786,6.317648998,1,Benito Juarez,Yes,70.31480235
78.41755976,7.732231397,6,Benito Juarez,No,79.92794392
93.76170839,6.225927766,8,Iztapalapa,No,91.8114293
84.50423838,7.819786624,5,Coyoacan,Yes,77.17827894
69.23096344,7.142896097,7,Iztapalapa,No,75.43322952
66.01585329,6.873805625,5,Alvaro Obregon,Yes,80.92987117
79.91919172,4.640874391,5,Alvaro Obregon,No,74.21085735
61.79766793,5.770402965,3,Iztacalco,Yes,62.80294369
93.31458766,7.903803048,5,Benito Juarez,Yes,96.3743981
86.79440121,5.976967278,9,Iztacalco,No,87.01713308
70.30824348,8.808054334,3,Benito Juarez,No,65.42694025
57.86865471,10.51960199,9,Iztapalapa,No,84.75252547
88.53872374,7.984577951,5,Coyoacan,Yes,79.6885472
73.85460155,9.239247837,0,Xochimilco,No,40.60674919
87.37816312,8.081090857,6,Benito Juarez,Yes,100
59.05572341,6.198606966,1,Coyoacan,Yes,56.82359657
69.00624977,7.300227497,5,Coyoacan,Yes,75.31359103
75.052437,10.01998142,8,Coyoacan,No,84.52829096
75.46980594,6.214669386,9,Iztapalapa,No,81.60257818
70.49934529,5.441009052,2,Coyoacan,No,53.86642062
81.22849932,5.298708365,3,Coyoacan,No,58.46151329
64.32379571,6.673705924,4,Alvaro Obregon,No,60.08517664
73.57620515,5.494791867,7,Alvaro Obregon,No,72.8178103
76.20295632,9.511029141,9,Benito Juarez,Yes,100
80.14438834,7.324534802,5,Alvaro Obregon,Yes,92.85125955
82.11614878,8.457589465,7,Benito Juarez,No,93.38155726
63.75357908,6.552001914,2,Coyoacan,Yes,56.01971161
59.65885829,5.289704203,2,Alvaro Obregon,Yes,71.41074911
87.77676822,5.035909082,8,Iztacalco,No,82.40601945
78.32314012,5.638012387,5,Xochimilco,No,63.78331058
67.51513463,7.521288241,7,Xochimilco,Yes,82.77683823
90.51151976,7.779824398,3,Iztapalapa,No,65.20807131
76.15674634,7.90479411,4,Alvaro Obregon,No,77.19758993
86.79297184,4.766990974,8,Iztapalapa,No,80.84898295
75.67518481,6.999386221,6,Xochimilco,Yes,75.91475389
95.60747925,5.460907254,4,Alvaro Obregon,No,73.76260344
92.55340842,7.602198951,6,Xochimilco,Yes,94.22717905
72.51035852,7.718615583,8,Alvaro Obregon,No,87.33339776
84.71570951,5.241740429,2,Iztacalco,Yes,61.53551941
81.4537595,8.452044411,2,Coyoacan,No,46.20066322
88.68631558,10.50823441,3,Benito Juarez,Yes,97.33985946
65.35076539,8.252253606,9,Alvaro Obregon,Yes,100
81.8605146,6.755748941,6,Alvaro Obregon,Yes,86.23137917
85.58424487,6.525181445,4,Iztapalapa,Yes,79.11517565
57.41260514,6.686404027,4,Coyoacan,Yes,55.00321382
63.16741487,5.85889923,3,Alvaro Obregon,No,52.46289164
54.60767822,7.37859731,7,Alvaro Obregon,Yes,93.38698935
72.30593166,5.292306113,2,Benito Juarez,No,53.67545396
82.17542256,4.16545332,1,Xochimilco,No,51.06668901
90.02357052,7.329402523,3,Coyoacan,No,55.44373696
75.7409478,7.031849599,7,Coyoacan,No,82.79294725
91.28615546,6.143244975,3,Xochimilco,No,55.54537142
61.19898542,5.075955066,7,Alvaro Obregon,No,74.02417635
57.96617561,7.43461604,4,Coyoacan,No,46.4810131
74.44452301,5.514737442,8,Coyoacan,No,81.24786452
78.84065449,6.791583474,1,Benito Juarez,No,65.64067188
74.67305252,9.647457781,7,Iztacalco,No,77.22059079
54.325579,7.976784654,6,Xochimilco,No,59.37720406
74.1087996,4.946301006,1,Xochimilco,Yes,44.27853698
61.95530499,5.087722643,4,Benito Juarez,No,66.96370247
81.69672549,7.227728639,5,Iztacalco,No,63.07334467
78.66598246,4.937018977,8,Benito Juarez,No,82.78497115
65.60120214,3.997411778,7,Xochimilco,No,63.3881064
69.86133083,7.798558017,6,Xochimilco,No,65.71242006
64.40786478,7.481403631,0,Alvaro Obregon,Yes,55.75234521
74.37320903,7.675897497,9,Benito Juarez,Yes,100
84.55142321,7.394552773,2,Coyoacan,No,51.30679397
65.14273954,6.902033932,0,Coyoacan,No,34.80852382
80.04046516,6.006717178,9,Iztapalapa,Yes,100
69.69742382,7.774202449,5,Alvaro Obregon,Yes,75.79704563
67.07127168,9.294825233,2,Coyoacan,No,51.44669617
73.9296964,6.248156489,1,Alvaro Obregon,No,61.1138355
64.64757678,5.468889685,9,Benito Juarez,No,89.96542184
69.46350695,5.297320871,1,Coyoacan,Yes,56.52536213
